"op","ctrl","mass","form","mod","rad","ref","thk"
"solution","A",16,"alpha","h2o",13.97,"h2o",1.905
"small sample","A",19,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",4,"alpha","h2o",11.43,"h2o",1.905
"large sample","A",14,"alpha","h2o",10.795,"h2o",2.54
"metallurgy","B",57,"alpha","h2o",3.81,"h2o",1.27
"metallurgy","A",34,"alpha","h2o",6.985,"h2o",1.27
"small sample","A",40,"alpha","h2o",3.81,"h2o",1.27
"small sample","A",47,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",65,"alpha","h2o",1.905,"h2o",1.905
"metallurgy","A",18,"alpha","h2o",6.35,"h2o",0.635
"small sample","A",50,"alpha","h2o",2.54,"h2o",3.81
"small sample","A",22,"alpha","h2o",13.335,"h2o",0.635
"small sample","A",14,"alpha","h2o",5.715,"h2o",2.54
"metallurgy","E",20,"alpha","h2o",1.905,"h2o",0.635
"metallurgy","A",47,"alpha","h2o",7.62,"h2o",0.635
"machining","M",25,"alpha","h2o",6.35,"h2o",0.635
"metallurgy","A",29,"alpha","h2o",15.875,"h2o",3.175
"metallurgy","A",65,"alpha","h2o",4.445,"h2o",1.27
"metallurgy","E",70,"alpha","h2o",1.27,"h2o",0.635
"solution","A",5,"alpha","h2o",1.905,"h2o",1.27
"machining","M",19,"alpha","h2o",5.715,"h2o",1.27
"solution","A",37,"alpha","h2o",6.35,"h2o",4.445
"large sample","E",291,"alpha","h2o",1.27,"h2o",0.635
"machining","M",142,"alpha","h2o",1.905,"h2o",0.635
"solution","A",36,"alpha","h2o",8.255,"h2o",3.81
"solution","A",10,"alpha","h2o",11.43,"h2o",1.905
"small sample","A",41,"alpha","h2o",14.605,"h2o",1.905
"machining","M",26,"alpha","h2o",20.955,"h2o",0.635
"large sample","D",34,"alpha","h2o",1.27,"h2o",0.635
"large sample","A",49,"alpha","h2o",10.795,"h2o",1.905
"small sample","A",39,"alpha","h2o",6.985,"h2o",1.27
"metallurgy","A",34,"alpha","h2o",4.445,"h2o",2.54
"metallurgy","A",13,"alpha","h2o",14.605,"h2o",3.175
"large sample","A",40,"alpha","h2o",8.89,"h2o",1.27
"small sample","A",43,"alpha","h2o",28.575,"h2o",1.27
"small sample","A",32,"alpha","h2o",3.81,"h2o",3.175
"small sample","B",68,"alpha","h2o",10.795,"h2o",1.27
"waste","P",22,"alpha","h2o",7.62,"h2o",3.175
"metallurgy","E",92,"alpha","h2o",1.905,"h2o",0.635
"large sample","A",48,"alpha","h2o",2.54,"h2o",3.175
"small sample","A",55,"alpha","h2o",9.525,"h2o",1.27
"large sample","D",106,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",21,"alpha","h2o",2.54,"h2o",1.27
"small sample","A",65,"alpha","h2o",1.27,"h2o",1.905
"small sample","A",24,"alpha","h2o",6.35,"h2o",2.54
"small sample","A",19,"alpha","h2o",25.4,"h2o",2.54
"small sample","A",33,"alpha","h2o",1.27,"h2o",1.27
"small sample","A",31,"alpha","h2o",5.715,"h2o",0.635
"metallurgy","E",21,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",32,"alpha","h2o",9.525,"h2o",1.905
"large sample","A",29,"alpha","h2o",12.7,"h2o",2.54
"small sample","A",11,"alpha","h2o",8.255,"h2o",0.635
"metallurgy","A",65,"alpha","h2o",5.715,"h2o",1.27
"machining","M",88,"alpha","h2o",31.75,"h2o",0.635
"metallurgy","E",54,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",65,"alpha","h2o",5.08,"h2o",1.27
"small sample","A",65,"alpha","h2o",4.445,"h2o",0.635
"large sample","M",194,"alpha","h2o",19.05,"h2o",0.635
"large sample","C",170,"alpha","h2o",1.905,"h2o",0.635
"solution","A",16,"alpha","h2o",9.525,"h2o",1.27
"solution","A",1,"alpha","h2o",5.08,"h2o",1.27
"large sample","A",23,"alpha","h2o",3.81,"h2o",5.08
"large sample","D",56,"alpha","h2o",2.54,"h2o",0.635
"large sample","D",63,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",42,"alpha","h2o",4.445,"h2o",3.175
"metallurgy","A",17,"alpha","h2o",3.81,"h2o",0.635
"large sample","A",6,"alpha","h2o",5.715,"h2o",1.27
"large sample","A",41,"alpha","h2o",27.94,"h2o",0.635
"metallurgy","A",39,"alpha","h2o",8.255,"h2o",2.54
"small sample","A",13,"alpha","h2o",3.175,"h2o",1.905
"metallurgy","E",12,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",51,"alpha","h2o",15.24,"h2o",1.27
"small sample","A",52,"alpha","h2o",5.715,"h2o",0.635
"small sample","A",65,"alpha","h2o",6.985,"h2o",1.905
"metallurgy","E",41,"alpha","h2o",0.635,"h2o",0.635
"large sample","D",306,"alpha","h2o",6.985,"h2o",1.27
"machining","A",8,"alpha","h2o",3.175,"h2o",2.54
"large sample","A",34,"alpha","h2o",15.24,"h2o",1.905
"solution","A",5,"alpha","h2o",2.54,"h2o",1.905
"metallurgy","E",36,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",57,"alpha","h2o",8.89,"h2o",1.905
"small sample","A",24,"alpha","h2o",6.35,"h2o",3.175
"metallurgy","A",21,"alpha","h2o",5.08,"h2o",2.54
"machining","M",26,"alpha","h2o",5.08,"h2o",0.635
"waste","A",40,"alpha","h2o",1.905,"h2o",0.635
"large sample","D",28,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",40,"alpha","h2o",8.89,"h2o",0.635
"large sample","D",19,"alpha","h2o",4.445,"h2o",0.635
"large sample","A",14,"alpha","h2o",0.635,"h2o",1.905
"machining","M",17,"alpha","h2o",15.24,"h2o",0.635
"solution","A",8,"alpha","h2o",8.255,"h2o",3.81
"large sample","A",28,"alpha","h2o",26.67,"h2o",3.81
"solution","A",18,"alpha","h2o",25.4,"h2o",1.27
"small sample","A",18,"alpha","h2o",5.715,"h2o",0.635
"large sample","A",26,"alpha","h2o",9.525,"h2o",1.27
"large sample","D",30,"alpha","h2o",4.445,"h2o",0.635
"small sample","A",14,"alpha","h2o",29.845,"h2o",0.635
"small sample","B",32,"alpha","h2o",2.54,"h2o",2.54
"small sample","A",65,"alpha","h2o",29.21,"h2o",0.635
"large sample","M",50,"alpha","h2o",6.985,"h2o",0.635
"large sample","A",39,"alpha","h2o",10.795,"h2o",2.54
"solution","A",7,"alpha","h2o",14.605,"h2o",1.905
"large sample","D",28,"alpha","h2o",1.905,"h2o",0.635
"metallurgy","A",13,"alpha","h2o",8.255,"h2o",0.635
"small sample","A",24,"alpha","h2o",5.715,"h2o",0.635
"large sample","M",33,"alpha","h2o",12.065,"h2o",0.635
"small sample","A",21,"alpha","h2o",6.985,"h2o",1.27
"small sample","A",11,"alpha","h2o",34.29,"h2o",1.905
"large sample","M",84,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",3,"alpha","h2o",14.605,"h2o",1.905
"small sample","A",4,"alpha","h2o",5.715,"h2o",0.635
"machining","M",113,"alpha","h2o",13.335,"h2o",0.635
"machining","M",21,"alpha","h2o",17.78,"h2o",0.635
"metallurgy","A",41,"alpha","h2o",15.875,"h2o",1.27
"large sample","M",57,"alpha","h2o",12.065,"h2o",0.635
"metallurgy","A",65,"alpha","h2o",6.985,"h2o",1.905
"small sample","A",42,"alpha","h2o",12.7,"h2o",5.08
"metallurgy","E",6,"alpha","h2o",0.635,"h2o",0.635
"large sample","A",18,"alpha","h2o",8.89,"h2o",3.175
"waste","A",31,"alpha","h2o",17.145,"h2o",1.27
"large sample","D",102,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",23,"alpha","h2o",8.89,"h2o",0.635
"waste","A",23,"alpha","h2o",9.525,"h2o",1.27
"small sample","A",18,"alpha","h2o",2.54,"h2o",1.905
"machining","M",59,"alpha","h2o",2.54,"h2o",0.635
"metallurgy","A",34,"alpha","h2o",10.16,"h2o",1.905
"solution","A",24,"alpha","h2o",12.065,"h2o",0.635
"small sample","A",32,"alpha","h2o",5.08,"h2o",1.905
"large sample","B",17,"alpha","h2o",0.635,"h2o",0.635
"large sample","D",19,"alpha","h2o",2.54,"h2o",0.635
"small sample","A",12,"alpha","h2o",6.35,"h2o",0.635
"large sample","A",45,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",15,"alpha","h2o",7.62,"h2o",1.905
"large sample","A",8,"alpha","h2o",14.605,"h2o",3.175
"large sample","A",32,"alpha","h2o",6.985,"h2o",0.635
"metallurgy","A",65,"alpha","h2o",6.35,"h2o",7.62
"large sample","A",14,"alpha","h2o",10.16,"h2o",0.635
"metallurgy","A",43,"alpha","h2o",11.43,"h2o",0.635
"small sample","A",25,"alpha","h2o",8.255,"h2o",1.27
"waste","A",22,"alpha","h2o",5.715,"h2o",0.635
"small sample","A",23,"alpha","h2o",6.985,"h2o",1.905
"machining","M",50,"alpha","h2o",11.43,"h2o",0.635
"large sample","D",8,"alpha","h2o",7.62,"h2o",0.635
"metallurgy","A",56,"alpha","h2o",5.08,"h2o",2.54
"metallurgy","A",13,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",31,"alpha","h2o",12.065,"h2o",1.905
"large sample","A",29,"alpha","h2o",3.175,"h2o",4.445
"large sample","A",42,"alpha","h2o",17.78,"h2o",1.27
"solution","A",13,"alpha","h2o",5.715,"h2o",3.175
"metallurgy","A",5,"alpha","h2o",12.065,"h2o",0.635
"machining","M",74,"alpha","h2o",2.54,"h2o",0.635
"small sample","A",9,"alpha","h2o",7.62,"h2o",0.635
"large sample","A",56,"alpha","h2o",3.175,"h2o",1.27
"large sample","E",48,"alpha","h2o",1.905,"h2o",0.635
"large sample","A",4,"alpha","h2o",36.83,"h2o",1.27
"large sample","A",42,"alpha","h2o",8.255,"h2o",1.27
"machining","M",3,"alpha","h2o",5.715,"h2o",0.635
"small sample","A",16,"alpha","h2o",15.875,"h2o",0.635
"large sample","A",28,"alpha","h2o",12.7,"h2o",1.905
"machining","M",42,"alpha","h2o",18.415,"h2o",0.635
"small sample","A",13,"alpha","h2o",8.255,"h2o",1.905
"large sample","A",15,"alpha","h2o",4.445,"h2o",1.905
"large sample","A",27,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",20,"alpha","h2o",10.16,"h2o",1.27
"metallurgy","A",21,"alpha","h2o",8.255,"h2o",1.905
"large sample","M",36,"alpha","h2o",24.13,"h2o",0.635
"metallurgy","A",33,"alpha","h2o",5.715,"h2o",2.54
"small sample","A",38,"alpha","h2o",6.985,"h2o",1.905
"small sample","A",15,"alpha","h2o",11.43,"h2o",2.54
"large sample","M",2,"alpha","h2o",4.445,"h2o",0.635
"small sample","A",16,"alpha","h2o",16.51,"h2o",1.27
"large sample","M",27,"alpha","h2o",7.62,"h2o",1.27
"solution","A",4,"alpha","h2o",6.35,"h2o",3.175
"metallurgy","E",216,"alpha","h2o",1.905,"h2o",0.635
"metallurgy","A",18,"alpha","h2o",12.065,"h2o",2.54
"small sample","A",32,"alpha","h2o",6.35,"h2o",0.635
"large sample","A",54,"alpha","h2o",30.48,"h2o",1.27
"metallurgy","A",18,"alpha","h2o",1.905,"h2o",1.27
"large sample","A",7,"alpha","h2o",9.525,"h2o",1.905
"small sample","A",33,"alpha","h2o",1.905,"h2o",0.635
"metallurgy","A",52,"alpha","h2o",8.255,"h2o",1.905
"solution","A",22,"alpha","h2o",19.05,"h2o",0.635
"small sample","A",15,"alpha","h2o",5.715,"h2o",0.635
"large sample","D",16,"alpha","h2o",1.27,"h2o",0.635
"metallurgy","A",5,"alpha","h2o",6.35,"h2o",1.905
"metallurgy","E",13,"alpha","h2o",2.54,"h2o",0.635
"machining","M",5,"alpha","h2o",28.575,"h2o",0.635
"metallurgy","A",15,"alpha","h2o",3.175,"h2o",2.54
"small sample","A",63,"alpha","h2o",24.13,"h2o",0.635
"waste","P",118,"alpha","h2o",5.08,"h2o",0.635
"large sample","M",143,"alpha","h2o",19.05,"h2o",0.635
"small sample","A",55,"alpha","h2o",8.255,"h2o",3.175
"large sample","A",26,"alpha","h2o",18.415,"h2o",0.635
"machining","M",21,"alpha","h2o",8.89,"h2o",1.27
"small sample","B",141,"alpha","h2o",3.175,"h2o",0.635
"large sample","M",61,"alpha","h2o",6.985,"h2o",0.635
"small sample","A",23,"alpha","h2o",10.795,"h2o",1.905
"large sample","D",14,"alpha","h2o",4.445,"h2o",0.635
"small sample","A",13,"alpha","h2o",10.795,"h2o",1.905
"small sample","A",39,"alpha","h2o",8.255,"h2o",2.54
"small sample","A",65,"alpha","h2o",4.445,"h2o",1.905
"small sample","B",59,"alpha","h2o",5.08,"h2o",1.905
"large sample","A",56,"alpha","h2o",11.43,"h2o",2.54
"large sample","A",11,"alpha","h2o",8.255,"h2o",1.905
"large sample","E",42,"alpha","h2o",2.54,"h2o",0.635
"small sample","A",19,"alpha","h2o",14.605,"h2o",1.27
"large sample","A",30,"alpha","h2o",5.08,"h2o",3.175
"metallurgy","B",34,"alpha","h2o",6.35,"h2o",0.635
"waste","A",21,"alpha","h2o",5.715,"h2o",0.635
"small sample","A",15,"alpha","h2o",7.62,"h2o",3.175
"metallurgy","A",61,"alpha","h2o",3.81,"h2o",3.175
"solution","A",5,"alpha","h2o",8.89,"h2o",1.27
"metallurgy","A",15,"alpha","h2o",8.255,"h2o",1.905
"machining","M",20,"alpha","h2o",20.32,"h2o",0.635
"large sample","A",43,"alpha","h2o",14.605,"h2o",0.635
"large sample","A",4,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",54,"alpha","h2o",8.89,"h2o",2.54
"large sample","A",46,"alpha","h2o",20.32,"h2o",0.635
"large sample","M",88,"alpha","h2o",1.27,"h2o",0.635
"large sample","C",100,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",2,"alpha","h2o",11.43,"h2o",1.905
"solution","A",2,"alpha","h2o",1.27,"h2o",0.635
"solution","A",35,"alpha","h2o",14.605,"h2o",1.27
"large sample","A",33,"alpha","h2o",15.24,"h2o",1.905
"small sample","A",65,"alpha","h2o",4.445,"h2o",3.81
"solution","A",32,"alpha","h2o",6.985,"h2o",1.905
"large sample","A",3,"alpha","h2o",5.715,"h2o",0.635
"metallurgy","E",152,"alpha","h2o",2.54,"h2o",0.635
"large sample","B",143,"alpha","h2o",12.7,"h2o",1.905
"large sample","D",33,"alpha","h2o",5.715,"h2o",1.27
"large sample","D",95,"alpha","h2o",3.81,"h2o",0.635
"machining","M",55,"alpha","h2o",10.16,"h2o",0.635
"large sample","A",18,"alpha","h2o",9.525,"h2o",1.27
"small sample","A",47,"alpha","h2o",3.175,"h2o",2.54
"large sample","E",41,"alpha","h2o",4.445,"h2o",0.635
"solution","A",7,"alpha","h2o",21.59,"h2o",0.635
"metallurgy","A",24,"alpha","h2o",16.51,"h2o",0.635
"small sample","A",35,"alpha","h2o",5.715,"h2o",1.905
"large sample","A",24,"alpha","h2o",2.54,"h2o",1.27
"large sample","A",12,"alpha","h2o",9.525,"h2o",2.54
"machining","M",99,"alpha","h2o",5.715,"h2o",0.635
"small sample","A",65,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",56,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",26,"alpha","h2o",5.08,"h2o",3.81
"solution","A",9,"alpha","h2o",41.275,"h2o",1.905
"large sample","A",21,"alpha","h2o",17.78,"h2o",0.635
"waste","A",28,"alpha","h2o",9.525,"h2o",0.635
"large sample","M",73,"alpha","h2o",12.065,"h2o",0.635
"small sample","A",18,"alpha","h2o",6.35,"h2o",4.445
"solution","A",65,"alpha","h2o",9.525,"h2o",1.27
"small sample","A",65,"alpha","h2o",10.795,"h2o",3.175
"large sample","M",11,"alpha","h2o",8.89,"h2o",0.635
"metallurgy","E",50,"alpha","h2o",1.27,"h2o",1.27
"metallurgy","B",25,"alpha","h2o",8.255,"h2o",2.54
"small sample","A",15,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",45,"alpha","h2o",16.51,"h2o",1.905
"large sample","A",32,"alpha","h2o",5.715,"h2o",0.635
"large sample","A",45,"alpha","h2o",16.51,"h2o",0.635
"large sample","A",9,"alpha","h2o",1.905,"h2o",1.27
"metallurgy","A",18,"alpha","h2o",11.43,"h2o",2.54
"small sample","B",127,"alpha","h2o",5.08,"h2o",0.635
"solution","A",11,"alpha","h2o",17.145,"h2o",0.635
"metallurgy","E",25,"alpha","h2o",0.635,"h2o",0.635
"waste","P",15,"alpha","h2o",5.715,"h2o",2.54
"small sample","A",5,"alpha","h2o",8.255,"h2o",1.905
"small sample","A",22,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",41,"alpha","h2o",14.605,"h2o",1.27
"small sample","A",45,"alpha","h2o",5.715,"h2o",1.27
"small sample","A",32,"alpha","h2o",14.605,"h2o",0.635
"small sample","A",23,"alpha","h2o",20.955,"h2o",2.54
"solution","A",10,"alpha","h2o",11.43,"h2o",0.635
"small sample","A",42,"alpha","h2o",5.08,"h2o",0.635
"large sample","A",61,"alpha","h2o",8.255,"h2o",1.27
"waste","A",14,"alpha","h2o",11.43,"h2o",1.905
"large sample","A",32,"alpha","h2o",10.795,"h2o",1.27
"small sample","A",19,"alpha","h2o",15.24,"h2o",0.635
"solution","A",13,"alpha","h2o",6.35,"h2o",1.27
"small sample","A",17,"alpha","h2o",3.81,"h2o",1.27
"large sample","A",20,"alpha","h2o",13.335,"h2o",1.27
"machining","M",25,"alpha","h2o",17.78,"h2o",0.635
"large sample","A",65,"alpha","h2o",10.16,"h2o",0.635
"metallurgy","E",70,"alpha","h2o",3.81,"h2o",0.635
"large sample","A",32,"alpha","h2o",6.985,"h2o",2.54
"small sample","A",19,"alpha","h2o",6.35,"h2o",2.54
"solution","A",2,"alpha","h2o",22.86,"h2o",1.905
"small sample","A",9,"alpha","h2o",12.7,"h2o",3.175
"metallurgy","A",18,"alpha","h2o",6.985,"h2o",3.81
"metallurgy","A",47,"alpha","h2o",6.35,"h2o",3.175
"large sample","A",28,"alpha","h2o",3.175,"h2o",0.635
"solution","A",3,"alpha","h2o",10.16,"h2o",1.905
"large sample","M",24,"alpha","h2o",26.035,"h2o",0.635
"metallurgy","E",29,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",18,"alpha","h2o",10.795,"h2o",0.635
"large sample","D",41,"alpha","h2o",2.54,"h2o",0.635
"machining","A",10,"alpha","h2o",5.715,"h2o",2.54
"small sample","A",65,"alpha","h2o",8.89,"h2o",3.81
"large sample","M",83,"alpha","h2o",6.35,"h2o",0.635
"waste","A",17,"alpha","h2o",2.54,"h2o",1.905
"small sample","A",15,"alpha","h2o",10.795,"h2o",1.27
"large sample","A",18,"alpha","h2o",9.525,"h2o",1.27
"small sample","A",18,"alpha","h2o",5.715,"h2o",1.27
"large sample","A",42,"alpha","h2o",15.24,"h2o",1.27
"small sample","A",41,"alpha","h2o",9.525,"h2o",0.635
"machining","M",42,"alpha","h2o",1.27,"h2o",0.635
"metallurgy","E",164,"alpha","h2o",0.635,"h2o",0.635
"large sample","A",7,"alpha","h2o",8.255,"h2o",1.905
"large sample","A",18,"alpha","h2o",1.905,"h2o",1.27
"large sample","A",18,"alpha","h2o",8.255,"h2o",1.27
"large sample","A",14,"alpha","h2o",12.7,"h2o",0.635
"machining","M",122,"alpha","h2o",5.715,"h2o",0.635
"large sample","A",65,"alpha","h2o",13.97,"h2o",1.27
"machining","M",74,"alpha","h2o",8.255,"h2o",0.635
"small sample","A",14,"alpha","h2o",9.525,"h2o",0.635
"small sample","A",11,"alpha","h2o",7.62,"h2o",0.635
"large sample","D",78,"alpha","h2o",4.445,"h2o",0.635
"waste","P",82,"alpha","h2o",11.43,"h2o",1.905
"solution","A",8,"alpha","h2o",19.05,"h2o",2.54
"small sample","A",65,"alpha","h2o",3.175,"h2o",1.905
"small sample","A",27,"alpha","h2o",5.715,"h2o",4.445
"small sample","B",71,"alpha","h2o",7.62,"h2o",3.175
"large sample","A",25,"alpha","h2o",3.81,"h2o",0.635
"machining","A",17,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",15,"alpha","h2o",13.97,"h2o",1.27
"small sample","A",15,"alpha","h2o",2.54,"h2o",2.54
"large sample","D",88,"alpha","h2o",3.175,"h2o",0.635
"waste","A",45,"alpha","h2o",9.525,"h2o",0.635
"small sample","A",65,"alpha","h2o",6.35,"h2o",1.905
"small sample","A",65,"alpha","h2o",6.35,"h2o",1.905
"large sample","C",130,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",23,"alpha","h2o",11.43,"h2o",2.54
"small sample","A",65,"alpha","h2o",29.845,"h2o",1.27
"large sample","A",48,"alpha","h2o",8.255,"h2o",1.905
"solution","A",4,"alpha","h2o",0.635,"h2o",1.27
"small sample","A",65,"alpha","h2o",6.985,"h2o",2.54
"small sample","A",9,"alpha","h2o",6.985,"h2o",0.635
"metallurgy","A",13,"alpha","h2o",6.985,"h2o",1.27
"large sample","E",291,"alpha","h2o",0.635,"h2o",0.635
"small sample","A",46,"alpha","h2o",2.54,"h2o",1.27
"solution","A",3,"alpha","h2o",28.575,"h2o",1.27
"small sample","A",54,"alpha","h2o",3.81,"h2o",0.635
"small sample","B",2,"alpha","h2o",1.27,"h2o",0.635
"solution","A",39,"alpha","h2o",11.43,"h2o",0.635
"large sample","M",41,"alpha","h2o",8.89,"h2o",0.635
"metallurgy","E",47,"alpha","h2o",0.635,"h2o",0.635
"metallurgy","A",22,"alpha","h2o",3.81,"h2o",1.27
"metallurgy","A",48,"alpha","h2o",6.35,"h2o",1.27
"solution","A",14,"alpha","h2o",22.225,"h2o",2.54
"small sample","A",4,"alpha","h2o",15.24,"h2o",0.635
"small sample","A",47,"alpha","h2o",13.335,"h2o",6.35
"solution","A",4,"alpha","h2o",6.35,"h2o",2.54
"large sample","A",51,"alpha","h2o",9.525,"h2o",1.27
"solution","A",4,"alpha","h2o",12.065,"h2o",3.81
"large sample","D",21,"alpha","h2o",3.175,"h2o",1.27
"large sample","E",26,"alpha","h2o",3.81,"h2o",0.635
"large sample","M",80,"alpha","h2o",3.175,"h2o",0.635
"large sample","D",68,"alpha","h2o",2.54,"h2o",0.635
"large sample","A",38,"alpha","h2o",5.715,"h2o",2.54
"machining","M",11,"alpha","h2o",20.32,"h2o",0.635
"small sample","A",6,"alpha","h2o",14.605,"h2o",0.635
"solution","A",18,"alpha","h2o",6.35,"h2o",2.54
"small sample","A",16,"alpha","h2o",4.445,"h2o",1.27
"waste","P",61,"alpha","h2o",8.255,"h2o",1.905
"small sample","A",28,"alpha","h2o",13.97,"h2o",1.27
"large sample","A",30,"alpha","h2o",3.81,"h2o",2.54
"small sample","A",16,"alpha","h2o",12.065,"h2o",1.27
"metallurgy","A",12,"alpha","h2o",9.525,"h2o",1.905
"small sample","A",54,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",25,"alpha","h2o",4.445,"h2o",3.175
"waste","P",38,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",11,"alpha","h2o",17.145,"h2o",2.54
"small sample","A",16,"alpha","h2o",6.985,"h2o",1.27
"large sample","A",39,"alpha","h2o",8.89,"h2o",0.635
"large sample","C",151,"alpha","h2o",1.905,"h2o",0.635
"large sample","M",38,"alpha","h2o",9.525,"h2o",0.635
"large sample","M",52,"alpha","h2o",3.81,"h2o",0.635
"large sample","A",26,"alpha","h2o",7.62,"h2o",0.635
"waste","P",75,"alpha","h2o",7.62,"h2o",0.635
"large sample","A",62,"alpha","h2o",11.43,"h2o",1.905
"small sample","A",7,"alpha","h2o",3.81,"h2o",1.905
"small sample","A",14,"alpha","h2o",5.715,"h2o",1.27
"large sample","D",39,"alpha","h2o",4.445,"h2o",0.635
"large sample","A",19,"alpha","h2o",5.08,"h2o",2.54
"solution","A",8,"alpha","h2o",10.16,"h2o",1.27
"large sample","A",26,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",27,"alpha","h2o",6.35,"h2o",5.715
"waste","P",132,"alpha","h2o",2.54,"h2o",0.635
"metallurgy","E",39,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",55,"alpha","h2o",6.35,"h2o",3.175
"large sample","M",86,"alpha","h2o",3.175,"h2o",0.635
"large sample","A",25,"alpha","h2o",6.35,"h2o",1.27
"large sample","A",62,"alpha","h2o",17.78,"h2o",1.27
"solution","A",5,"alpha","h2o",7.62,"h2o",1.905
"large sample","M",94,"alpha","h2o",5.715,"h2o",0.635
"large sample","D",107,"alpha","h2o",4.445,"h2o",0.635
"small sample","A",60,"alpha","h2o",12.065,"h2o",0.635
"small sample","A",65,"alpha","h2o",11.43,"h2o",1.27
"small sample","A",39,"alpha","h2o",15.24,"h2o",2.54
"small sample","A",65,"alpha","h2o",8.255,"h2o",0.635
"large sample","A",47,"alpha","h2o",7.62,"h2o",0.635
"small sample","A",65,"alpha","h2o",3.175,"h2o",3.175
"large sample","M",76,"alpha","h2o",6.985,"h2o",0.635
"machining","M",114,"alpha","h2o",8.89,"h2o",0.635
"small sample","A",36,"alpha","h2o",6.35,"h2o",0.635
"small sample","A",34,"alpha","h2o",6.35,"h2o",0.635
"large sample","A",65,"alpha","h2o",6.35,"h2o",2.54
"metallurgy","A",19,"alpha","h2o",24.765,"h2o",1.905
"large sample","A",8,"alpha","h2o",7.62,"h2o",0.635
"large sample","A",33,"alpha","h2o",19.05,"h2o",0.635
"metallurgy","A",38,"alpha","h2o",10.16,"h2o",3.81
"waste","P",68,"alpha","h2o",13.335,"h2o",1.905
"small sample","A",6,"alpha","h2o",27.305,"h2o",3.175
"small sample","A",12,"alpha","h2o",13.97,"h2o",2.54
"solution","A",38,"alpha","h2o",21.59,"h2o",1.27
"metallurgy","E",66,"alpha","h2o",2.54,"h2o",0.635
"large sample","A",30,"alpha","h2o",6.35,"h2o",2.54
"large sample","D",192,"alpha","h2o",1.905,"h2o",1.27
"large sample","A",40,"alpha","h2o",20.955,"h2o",2.54
"metallurgy","A",36,"alpha","h2o",11.43,"h2o",1.27
"large sample","A",20,"alpha","h2o",15.24,"h2o",0.635
"large sample","A",6,"alpha","h2o",5.08,"h2o",2.54
"metallurgy","E",180,"alpha","h2o",4.445,"h2o",0.635
"small sample","B",26,"alpha","h2o",3.81,"h2o",0.635
"small sample","A",18,"alpha","h2o",1.27,"h2o",0.635
"large sample","A",13,"alpha","h2o",1.905,"h2o",0.635
"metallurgy","B",128,"alpha","h2o",8.89,"h2o",0.635
"small sample","A",20,"alpha","h2o",5.08,"h2o",0.635
"large sample","A",42,"alpha","h2o",2.54,"h2o",2.54
"small sample","A",18,"alpha","h2o",2.54,"h2o",1.27
"waste","P",56,"alpha","h2o",2.54,"h2o",2.54
"large sample","D",179,"alpha","h2o",4.445,"h2o",0.635
"large sample","M",63,"alpha","h2o",6.985,"h2o",0.635
"small sample","A",5,"alpha","h2o",6.985,"h2o",0.635
"metallurgy","E",14,"alpha","h2o",0.635,"h2o",0.635
"large sample","E",53,"alpha","h2o",1.27,"h2o",0.635
"small sample","A",20,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",25,"alpha","h2o",2.54,"h2o",1.27
"small sample","A",8,"alpha","h2o",3.175,"h2o",0.635
"small sample","A",19,"alpha","h2o",8.89,"h2o",2.54
"small sample","A",65,"alpha","h2o",5.08,"h2o",1.905
"large sample","D",507,"alpha","h2o",4.445,"h2o",0.635
"large sample","A",10,"alpha","h2o",25.4,"h2o",1.27
"small sample","A",65,"alpha","h2o",5.08,"h2o",0.635
"large sample","D",132,"alpha","h2o",5.08,"h2o",0.635
"small sample","A",37,"alpha","h2o",3.81,"h2o",0.635
"large sample","A",65,"alpha","h2o",4.445,"h2o",0.635
"large sample","B",135,"alpha","h2o",1.905,"h2o",0.635
"machining","M",21,"alpha","h2o",5.715,"h2o",0.635
"large sample","D",89,"alpha","h2o",6.985,"h2o",0.635
"metallurgy","A",38,"alpha","h2o",8.255,"h2o",4.445
