"op","ctrl","mass","form","mod","rad","ref","thk"
"solution","A",9,"alpha","none",10.795,"al",1.905
"large sample","D",186,"alpha","none",1.27,"ch2",0.635
"large sample","A",16,"alpha","none",23.495,"mgo",0.635
"small sample","A",47,"alpha","none",1.905,"ch2",1.905
"waste","P",38,"alpha","none",3.81,"mgo",1.905
"large sample","A",31,"alpha","none",12.7,"ss304",4.445
"solution","A",17,"alpha","none",12.065,"ch2",1.27
"small sample","A",5,"alpha","none",16.51,"ch2",0.635
"metallurgy","A",19,"alpha","none",6.985,"mgo",1.27
"small sample","A",12,"alpha","ch2",21.59,"mgo",1.905
"waste","A",25,"alpha","none",6.985,"mgo",3.175
"large sample","M",31,"alpha","none",12.065,"ch2",0.635
"large sample","A",48,"alpha","ch2",8.89,"ss304",4.445
"small sample","A",15,"alpha","ch2",9.525,"ss304",3.175
"metallurgy","A",29,"alpha","ch2",8.255,"ss304",4.445
"small sample","A",21,"alpha","ch2",6.35,"ch2",0.635
"small sample","A",21,"alpha","none",0.635,"ch2",0.635
"small sample","A",18,"alpha","none",6.985,"ch2",1.27
"solution","A",4,"alpha","none",1.27,"ss304",0.635
"large sample","M",267,"alpha","none",13.335,"ss304",0.635
"small sample","A",65,"alpha","none",6.35,"ss304",0.635
"machining","M",66,"alpha","none",1.905,"ch2",0.635
"metallurgy","A",48,"alpha","none",12.7,"ch2",1.905
"solution","A",14,"alpha","none",6.35,"ch2",1.27
"small sample","A",40,"alpha","ch2",1.905,"ch2",1.905
"metallurgy","A",58,"alpha","ch2",2.54,"ss304",0.635
"machining","M",18,"alpha","ch2",10.16,"ss304",0.635
"large sample","A",26,"alpha","none",26.035,"ss304",0.635
"metallurgy","A",37,"alpha","ch2",5.715,"ss304",2.54
"large sample","A",33,"alpha","none",1.905,"ch2",0.635
"large sample","A",31,"alpha","none",27.305,"ss304",0.635
"large sample","A",65,"alpha","none",8.89,"mgo",1.27
"small sample","A",36,"alpha","ch2",6.985,"ch2",0.635
"metallurgy","E",18,"alpha","none",0.635,"ch2",0.635
"waste","A",18,"alpha","none",6.985,"ch2",2.54
"small sample","A",8,"alpha","none",3.175,"ch2",0.635
"small sample","A",3,"alpha","none",3.81,"ch2",1.905
"large sample","D",5,"alpha","none",5.08,"ch2",0.635
"metallurgy","E",206,"alpha","none",1.27,"ss304",0.635
"large sample","A",59,"alpha","none",10.16,"mgo",1.27
"machining","M",36,"alpha","none",4.445,"ch2",0.635
"large sample","D",14,"alpha","mgo",1.905,"ch2",0.635
"small sample","A",22,"alpha","none",5.08,"ss304",1.27
"large sample","D",11,"alpha","none",0.635,"du",0.635
"machining","M",13,"alpha","ch2",2.54,"ch2",0.635
"small sample","A",32,"alpha","none",3.175,"ch2",0.635
"large sample","A",52,"alpha","none",12.7,"ch2",1.905
"large sample","A",25,"alpha","ch2",9.525,"ss304",0.635
"small sample","A",2,"alpha","none",5.08,"al",0.635
"small sample","B",44,"alpha","none",9.525,"ss304",1.27
"small sample","A",65,"alpha","none",5.08,"ch2",0.635
"machining","M",111,"alpha","none",15.875,"ss304",0.635
"metallurgy","B",30,"alpha","none",6.985,"ch2",1.905
"solution","A",18,"alpha","ch2",6.35,"al",1.27
"small sample","A",26,"alpha","none",9.525,"ss304",2.54
"large sample","A",37,"alpha","none",12.7,"mgo",3.81
"small sample","A",14,"alpha","none",12.065,"ch2",2.54
"metallurgy","E",65,"alpha","none",1.27,"ch2",0.635
"small sample","A",33,"alpha","none",5.08,"ch2",2.54
"metallurgy","A",35,"alpha","mgo",24.13,"ch2",2.54
"large sample","A",21,"alpha","none",3.81,"ch2",6.35
"metallurgy","B",15,"alpha","none",12.7,"ch2",2.54
"small sample","A",31,"alpha","none",6.985,"ch2",0.635
"solution","A",65,"alpha","none",6.35,"be",1.27
"metallurgy","E",29,"alpha","none",3.81,"mgo",0.635
"solution","A",30,"alpha","none",20.32,"du",1.27
"small sample","A",49,"alpha","none",6.985,"ss304",1.905
"small sample","A",3,"alpha","none",5.08,"ch2",3.175
"large sample","D",116,"alpha","none",3.175,"ss304",0.635
"large sample","E",105,"alpha","none",2.54,"ch2",0.635
"machining","M",65,"alpha","none",5.715,"ch2",0.635
"solution","A",18,"alpha","none",18.415,"du",1.27
"small sample","B",27,"alpha","ch2",5.715,"ch2",4.445
"machining","M",6,"alpha","none",3.175,"ss304",0.635
"small sample","A",35,"alpha","none",2.54,"mgo",1.27
"machining","M",34,"alpha","none",1.27,"mgo",0.635
"large sample","A",65,"alpha","none",11.43,"mgo",1.27
"small sample","A",65,"alpha","none",9.525,"ch2",2.54
"large sample","A",50,"alpha","ch2",1.905,"mgo",1.27
"metallurgy","A",18,"alpha","none",8.255,"ch2",1.27
"large sample","D",91,"alpha","none",6.985,"ch2",0.635
"small sample","A",65,"alpha","ch2",3.175,"du",0.635
"metallurgy","A",11,"alpha","none",19.05,"ch2",1.905
"large sample","A",47,"alpha","none",17.78,"ch2",3.175
"small sample","B",98,"alpha","none",3.81,"mgo",1.27
"small sample","A",17,"alpha","ch2",10.16,"ch2",1.27
"small sample","A",62,"alpha","none",5.715,"ch2",1.27
"metallurgy","A",65,"alpha","none",8.255,"ch2",1.905
"large sample","A",22,"alpha","none",5.08,"ch2",0.635
"metallurgy","E",46,"alpha","none",1.27,"ch2",0.635
"machining","M",9,"alpha","none",26.67,"ch2",0.635
"metallurgy","E",41,"alpha","none",1.27,"ss304",0.635
"large sample","D",86,"alpha","none",4.445,"ss304",0.635
"machining","M",16,"alpha","none",22.86,"ch2",0.635
"metallurgy","E",165,"alpha","none",1.905,"ch2",0.635
"large sample","A",53,"alpha","none",4.445,"ss304",1.905
"large sample","M",56,"alpha","none",13.97,"mgo",0.635
"solution","A",6,"alpha","none",5.08,"ss304",1.905
"large sample","A",17,"alpha","none",2.54,"mgo",1.27
"small sample","B",59,"alpha","ch2",8.255,"ch2",0.635
"small sample","A",3,"alpha","none",8.255,"ch2",1.27
"small sample","A",65,"alpha","none",9.525,"ch2",1.27
"large sample","D",39,"alpha","mgo",4.445,"ss304",0.635
"small sample","A",25,"alpha","none",9.525,"ch2",3.175
"large sample","A",42,"alpha","none",6.35,"mgo",1.27
"small sample","A",9,"alpha","ch2",2.54,"ch2",1.905
"waste","P",122,"alpha","none",2.54,"ss304",1.27
"large sample","M",87,"alpha","none",1.905,"ss304",0.635
"small sample","A",33,"alpha","ch2",8.255,"be",0.635
"large sample","M",383,"alpha","ch2",3.81,"ch2",0.635
"large sample","D",192,"alpha","none",2.54,"mgo",0.635
"small sample","A",62,"alpha","ch2",3.81,"ch2",2.54
"solution","A",6,"alpha","none",4.445,"ch2",0.635
"machining","M",65,"alpha","none",15.24,"al",0.635
"large sample","D",90,"alpha","ch2",0.635,"ch2",0.635
"large sample","M",63,"alpha","none",0.635,"ss304",0.635
"metallurgy","A",27,"alpha","none",8.89,"mgo",0.635
"solution","A",44,"alpha","none",6.35,"ch2",1.27
"large sample","D",196,"alpha","none",1.27,"ch2",1.27
"small sample","A",65,"alpha","none",0.635,"ch2",0.635
"small sample","A",19,"alpha","none",16.51,"mgo",0.635
"large sample","A",3,"alpha","none",6.985,"ch2",0.635
"waste","P",150,"alpha","mgo",12.065,"ch2",0.635
"waste","P",23,"alpha","mgo",10.795,"mgo",2.54
"solution","A",8,"alpha","ch2",6.35,"be",0.635
"large sample","A",46,"alpha","none",1.905,"mgo",1.905
"small sample","A",65,"alpha","none",15.24,"ss304",0.635
"large sample","C",117,"alpha","ch2",0.635,"none",0.635
"large sample","E",21,"alpha","none",0.635,"ss304",0.635
"metallurgy","E",227,"alpha","none",1.905,"ss304",0.635
"small sample","A",15,"alpha","mgo",11.43,"ch2",1.27
"large sample","M",72,"alpha","none",10.16,"ss304",0.635
"large sample","A",12,"alpha","none",17.145,"ss304",0.635
"small sample","B",52,"alpha","none",2.54,"mgo",2.54
"large sample","M",103,"alpha","mgo",6.985,"ss304",0.635
"solution","A",28,"alpha","ch2",16.51,"ch2",1.27
"metallurgy","A",23,"alpha","none",12.065,"al",0.635
"small sample","A",42,"alpha","none",10.795,"ch2",0.635
"large sample","A",38,"alpha","none",5.715,"ch2",3.81
"small sample","A",36,"alpha","ch2",13.97,"ss304",1.27
"metallurgy","E",174,"alpha","none",1.905,"ss304",0.635
"large sample","B",235,"alpha","none",14.605,"du",2.54
"large sample","M",128,"alpha","none",26.67,"al",0.635
"waste","P",50,"alpha","none",6.35,"ss304",1.27
"metallurgy","E",297,"alpha","none",0.635,"ch2",0.635
"small sample","A",41,"alpha","ch2",4.445,"ss304",6.35
"large sample","E",81,"alpha","mgo",0.635,"mgo",0.635
"large sample","A",28,"alpha","none",2.54,"mgo",1.905
"metallurgy","A",20,"alpha","ch2",13.335,"ch2",1.27
"small sample","A",40,"alpha","none",10.16,"ch2",0.635
"large sample","A",22,"alpha","none",7.62,"ch2",0.635
"large sample","A",17,"alpha","none",6.985,"ch2",1.27
"waste","P",44,"alpha","none",6.35,"mgo",2.54
"small sample","A",18,"alpha","none",6.35,"ch2",0.635
"small sample","A",15,"alpha","none",7.62,"ch2",1.905
"large sample","D",52,"alpha","none",2.54,"ch2",0.635
"large sample","A",41,"alpha","none",1.905,"ss304",1.27
"small sample","A",52,"alpha","none",11.43,"ch2",2.54
"large sample","A",25,"alpha","none",31.75,"ss304",0.635
"solution","A",40,"alpha","none",2.54,"ch2",0.635
"metallurgy","A",42,"alpha","none",24.765,"mgo",0.635
"small sample","A",30,"alpha","none",3.175,"ch2",1.905
"metallurgy","A",53,"alpha","none",10.16,"ch2",1.27
"large sample","D",40,"alpha","mgo",5.715,"ss304",0.635
"small sample","A",49,"alpha","none",2.54,"ch2",1.27
"small sample","A",43,"alpha","none",15.24,"ch2",0.635
"small sample","A",8,"alpha","none",17.78,"ch2",1.905
"metallurgy","E",181,"alpha","none",1.27,"ss304",0.635
"small sample","A",61,"alpha","ch2",12.7,"ch2",0.635
"solution","A",19,"alpha","none",10.16,"ch2",1.27
"small sample","A",26,"alpha","none",1.27,"al",0.635
"solution","A",4,"alpha","none",1.905,"be",1.27
"large sample","A",35,"alpha","none",5.08,"ch2",0.635
"large sample","D",89,"alpha","none",8.255,"ch2",0.635
"small sample","A",14,"alpha","mgo",1.27,"ch2",0.635
"small sample","A",32,"alpha","none",10.16,"ch2",1.905
"small sample","A",35,"alpha","none",3.175,"mgo",1.27
"large sample","A",1,"alpha","none",18.415,"ch2",2.54
"large sample","A",62,"alpha","none",6.985,"mgo",1.905
"large sample","A",9,"alpha","none",4.445,"ch2",2.54
"large sample","A",7,"alpha","none",1.905,"ch2",1.905
"small sample","A",42,"alpha","none",3.81,"ch2",2.54
"small sample","A",17,"alpha","none",4.445,"ch2",1.905
"metallurgy","A",5,"alpha","none",6.985,"ch2",0.635
"small sample","A",13,"alpha","none",7.62,"ch2",1.905
"large sample","A",6,"alpha","mgo",5.715,"mgo",1.27
"small sample","A",4,"alpha","none",1.27,"ch2",0.635
"small sample","A",61,"alpha","none",3.175,"ch2",0.635
"small sample","A",21,"alpha","none",5.08,"mgo",0.635
"large sample","E",62,"alpha","none",0.635,"mgo",0.635
"small sample","A",15,"alpha","none",7.62,"ch2",0.635
"solution","A",22,"alpha","none",16.51,"ss304",0.635
"small sample","A",21,"alpha","none",11.43,"ch2",4.445
"large sample","M",26,"alpha","none",1.27,"ss304",0.635
"large sample","A",19,"alpha","none",8.89,"mgo",1.905
"small sample","A",44,"alpha","ch2",2.54,"ch2",1.905
"large sample","A",17,"alpha","none",14.605,"ch2",0.635
"waste","P",179,"alpha","none",4.445,"ch2",1.27
"small sample","B",51,"alpha","none",0.635,"ch2",0.635
"large sample","D",79,"alpha","none",2.54,"ch2",0.635
"solution","A",19,"alpha","none",5.08,"ss304",0.635
"small sample","A",63,"alpha","none",7.62,"al",1.905
"large sample","A",39,"alpha","none",8.89,"ss304",1.905
"small sample","A",19,"alpha","none",12.7,"al",0.635
"large sample","A",32,"alpha","none",5.715,"mgo",2.54
"large sample","A",65,"alpha","none",1.905,"ch2",0.635
"waste","P",64,"alpha","none",7.62,"mgo",3.175
"large sample","A",13,"alpha","ch2",11.43,"ss304",0.635
"large sample","A",33,"alpha","none",4.445,"ch2",0.635
"small sample","A",42,"alpha","none",9.525,"ch2",1.27
"machining","M",68,"alpha","none",14.605,"ss304",0.635
"small sample","A",19,"alpha","ch2",12.7,"ch2",0.635
"large sample","A",7,"alpha","none",15.875,"ch2",0.635
"small sample","A",29,"alpha","ch2",5.715,"ch2",1.27
"small sample","A",12,"alpha","ch2",3.175,"ch2",0.635
"metallurgy","A",41,"alpha","ch2",8.255,"ch2",0.635
"waste","P",153,"alpha","none",2.54,"ch2",2.54
"small sample","A",15,"alpha","ch2",5.715,"ss304",0.635
"small sample","A",23,"alpha","none",3.175,"ss304",0.635
"large sample","B",30,"alpha","none",6.985,"ch2",0.635
"large sample","A",17,"alpha","ch2",5.715,"ch2",0.635
"small sample","B",72,"alpha","ch2",2.54,"ss304",2.54
"waste","P",181,"alpha","mgo",5.715,"mgo",0.635
"metallurgy","A",32,"alpha","none",10.16,"ch2",1.905
"small sample","A",33,"alpha","none",1.905,"ch2",1.27
"small sample","A",55,"alpha","none",2.54,"mgo",0.635
"small sample","A",26,"alpha","none",19.05,"mgo",1.905
"small sample","A",54,"alpha","none",19.05,"ss304",1.27
"large sample","M",36,"alpha","none",1.905,"mgo",0.635
"large sample","C",63,"alpha","none",3.81,"none",0.635
"metallurgy","E",29,"alpha","none",0.635,"ch2",0.635
"large sample","A",25,"alpha","none",15.875,"ch2",0.635
"machining","M",87,"alpha","ch2",6.35,"ch2",0.635
"small sample","A",55,"alpha","none",12.7,"ch2",2.54
"large sample","E",214,"alpha","none",0.635,"mgo",0.635
"small sample","A",65,"alpha","none",7.62,"ch2",1.905
"metallurgy","E",22,"alpha","none",4.445,"ch2",0.635
"small sample","A",23,"alpha","ch2",2.54,"ch2",0.635
"large sample","A",20,"alpha","none",10.16,"ch2",0.635
"small sample","B",4,"alpha","none",1.27,"ch2",0.635
"small sample","A",22,"alpha","none",11.43,"pb",1.27
"large sample","A",49,"alpha","none",6.985,"ss304",1.27
"small sample","A",12,"alpha","mgo",21.59,"ch2",1.905
"large sample","D",52,"alpha","none",0.635,"ss304",0.635
"large sample","A",30,"alpha","none",20.955,"ss304",3.81
"metallurgy","E",73,"alpha","none",1.905,"ss304",0.635
"waste","A",13,"alpha","ch2",10.16,"ch2",0.635
"solution","A",3,"alpha","none",12.7,"be",3.81
"small sample","B",10,"alpha","none",5.08,"ch2",1.27
"small sample","A",17,"alpha","none",9.525,"ch2",3.175
"waste","P",50,"alpha","none",18.415,"ch2",1.27
"waste","P",40,"alpha","none",5.715,"mgo",1.905
"large sample","M",105,"alpha","none",7.62,"ss304",0.635
"small sample","A",34,"alpha","none",15.24,"ss304",0.635
"machining","A",65,"alpha","none",8.89,"ch2",1.905
"small sample","A",57,"alpha","mgo",1.905,"du",1.905
"small sample","A",27,"alpha","none",5.08,"ch2",2.54
"metallurgy","A",24,"alpha","none",11.43,"mgo",0.635
"metallurgy","A",32,"alpha","ch2",12.065,"ss304",0.635
"small sample","A",65,"alpha","none",18.415,"ch2",4.445
"metallurgy","A",31,"alpha","none",11.43,"ch2",3.81
"small sample","A",27,"alpha","none",8.255,"ch2",1.27
"small sample","A",51,"alpha","none",4.445,"ch2",6.35
"metallurgy","A",21,"alpha","none",8.89,"ch2",0.635
"small sample","A",50,"alpha","ch2",16.51,"al",0.635
"large sample","M",112,"alpha","none",2.54,"ch2",0.635
"waste","P",92,"alpha","ch2",8.89,"ch2",1.905
"small sample","A",22,"alpha","none",8.255,"ch2",5.715
"large sample","A",5,"alpha","none",5.08,"mgo",1.905
"small sample","A",9,"alpha","ch2",10.16,"al",3.81
"waste","A",36,"alpha","none",9.525,"mgo",5.08
"small sample","A",65,"alpha","ch2",10.16,"ch2",1.27
"metallurgy","E",151,"alpha","none",0.635,"ch2",0.635
"metallurgy","E",14,"alpha","none",0.635,"mgo",0.635
"small sample","A",15,"alpha","none",4.445,"ch2",1.905
"small sample","A",23,"alpha","none",10.16,"ch2",3.81
"small sample","A",65,"alpha","none",13.97,"ch2",1.905
"machining","M",74,"alpha","ch2",3.81,"ss304",0.635
"waste","P",118,"alpha","mgo",2.54,"ch2",0.635
"metallurgy","E",27,"alpha","none",2.54,"ss304",0.635
"waste","P",86,"alpha","none",6.35,"ch2",0.635
"solution","A",8,"alpha","none",3.81,"ch2",0.635
"small sample","A",46,"alpha","none",21.59,"al",0.635
"large sample","A",18,"alpha","none",14.605,"ch2",1.905
"large sample","E",91,"alpha","none",3.175,"ss304",0.635
"solution","A",14,"alpha","none",12.065,"ss304",1.905
"machining","M",15,"alpha","ch2",4.445,"ch2",1.27
"large sample","M",61,"alpha","none",12.065,"ch2",0.635
"solution","A",22,"alpha","none",31.75,"ss304",2.54
"machining","A",15,"alpha","none",8.89,"ch2",0.635
"large sample","M",38,"alpha","ch2",18.415,"mgo",0.635
"small sample","A",12,"alpha","none",12.7,"ch2",1.27
"metallurgy","A",24,"alpha","none",4.445,"ch2",0.635
"small sample","A",17,"alpha","none",9.525,"ch2",1.27
"small sample","A",5,"alpha","none",14.605,"ch2",2.54
"large sample","A",35,"alpha","ch2",20.32,"ch2",0.635
"metallurgy","A",13,"alpha","ch2",15.24,"be",0.635
"small sample","A",54,"alpha","none",1.27,"ch2",1.27
"waste","P",182,"alpha","none",6.35,"pb",1.27
"large sample","E",129,"alpha","none",0.635,"ss304",0.635
"solution","A",5,"alpha","none",3.175,"ch2",0.635
"small sample","A",11,"alpha","none",6.35,"ch2",1.27
"metallurgy","A",56,"alpha","mgo",5.08,"ch2",1.905
"small sample","B",108,"alpha","none",3.175,"ch2",0.635
"metallurgy","E",254,"alpha","none",0.635,"mgo",0.635
"metallurgy","E",105,"alpha","none",1.905,"ch2",0.635
"large sample","A",44,"alpha","ch2",6.35,"ch2",3.175
"small sample","A",16,"alpha","none",6.35,"ch2",1.27
"solution","A",26,"alpha","none",1.27,"ch2",0.635
"large sample","E",45,"alpha","none",1.27,"ss304",0.635
"small sample","A",22,"alpha","none",1.27,"ss304",4.445
"large sample","A",29,"alpha","none",12.7,"ss304",1.27
"large sample","A",17,"alpha","none",12.7,"ss304",1.27
"small sample","A",43,"alpha","none",14.605,"ch2",3.175
"large sample","M",24,"alpha","none",8.255,"mgo",0.635
"large sample","D",48,"alpha","none",3.175,"ch2",0.635
"large sample","A",4,"alpha","ch2",5.08,"ss304",1.27
"small sample","A",65,"alpha","ch2",6.985,"ss304",1.905
"small sample","A",28,"alpha","none",15.875,"ch2",1.905
"machining","A",11,"alpha","none",12.7,"ch2",1.905
"machining","M",34,"alpha","none",15.875,"ss304",0.635
"large sample","E",42,"alpha","none",1.27,"ch2",0.635
"large sample","M",198,"alpha","none",8.89,"ch2",0.635
"large sample","D",94,"alpha","none",5.715,"ch2",1.27
"small sample","A",65,"alpha","none",6.985,"ch2",1.27
"small sample","A",7,"alpha","none",15.875,"ch2",0.635
"large sample","A",23,"alpha","ch2",28.575,"ss304",3.175
"metallurgy","A",12,"alpha","none",6.985,"mgo",1.27
"large sample","B",348,"alpha","ch2",2.54,"ch2",0.635
"large sample","A",20,"alpha","none",7.62,"ch2",1.27
"solution","A",32,"alpha","none",8.255,"al",1.27
"large sample","A",4,"alpha","mgo",12.065,"ss304",1.27
"small sample","A",13,"alpha","none",16.51,"ch2",2.54
"small sample","A",27,"alpha","none",15.875,"ch2",1.905
"solution","A",18,"alpha","none",12.065,"ch2",0.635
"small sample","A",34,"alpha","none",19.685,"ss304",0.635
"large sample","A",23,"alpha","none",3.175,"al",0.635
"large sample","A",27,"alpha","none",15.875,"ss304",1.27
"large sample","A",37,"alpha","none",13.97,"ch2",1.27
"metallurgy","A",28,"alpha","none",5.08,"ss304",1.905
"solution","A",13,"alpha","none",15.24,"ch2",0.635
"small sample","A",31,"alpha","mgo",7.62,"ch2",4.445
"small sample","A",43,"alpha","none",13.97,"ss304",1.905
"large sample","B",141,"alpha","none",5.08,"ss304",1.27
"solution","A",1,"alpha","ch2",1.27,"ch2",1.27
"machining","M",56,"alpha","ch2",5.715,"al",0.635
"metallurgy","A",25,"alpha","ch2",9.525,"ch2",1.27
"small sample","A",65,"alpha","none",10.795,"ss304",2.54
"small sample","A",65,"alpha","none",22.86,"ch2",0.635
"metallurgy","E",34,"alpha","none",2.54,"ss304",0.635
"large sample","A",29,"alpha","none",5.08,"mgo",0.635
"large sample","A",53,"alpha","ch2",27.94,"ch2",3.175
"metallurgy","E",6,"alpha","none",3.81,"ss304",0.635
"small sample","B",66,"alpha","none",1.905,"ch2",1.27
"waste","A",29,"alpha","none",8.89,"be",2.54
"large sample","D",38,"alpha","none",1.905,"ch2",0.635
"small sample","A",12,"alpha","none",13.335,"ch2",4.445
"large sample","A",40,"alpha","mgo",5.715,"ch2",0.635
"metallurgy","E",101,"alpha","none",0.635,"ss304",0.635
"large sample","D",127,"alpha","none",3.175,"ch2",0.635
"small sample","A",9,"alpha","ch2",14.605,"ch2",1.905
"small sample","A",65,"alpha","none",5.08,"ch2",3.81
"solution","A",10,"alpha","ch2",10.16,"ch2",1.27
"solution","A",2,"alpha","none",11.43,"al",0.635
"machining","M",10,"alpha","none",3.175,"ch2",0.635
"machining","A",24,"alpha","none",17.145,"ch2",0.635
"metallurgy","E",82,"alpha","none",0.635,"ch2",0.635
"small sample","A",12,"alpha","none",1.905,"ch2",1.905
"machining","M",16,"alpha","none",0.635,"ch2",1.27
"small sample","A",21,"alpha","none",5.715,"al",0.635
"large sample","A",60,"alpha","ch2",1.905,"ss304",1.27
"small sample","A",48,"alpha","none",5.08,"ch2",4.445
"small sample","A",14,"alpha","ch2",5.08,"ch2",1.27
"large sample","A",21,"alpha","none",8.255,"ss304",3.175
"metallurgy","E",42,"alpha","none",2.54,"ch2",0.635
"small sample","A",65,"alpha","none",8.89,"ch2",0.635
"small sample","A",49,"alpha","none",4.445,"ch2",0.635
"large sample","A",14,"alpha","ch2",22.86,"ss304",2.54
"small sample","A",54,"alpha","none",8.255,"ss304",0.635
"large sample","A",19,"alpha","mgo",24.13,"mgo",0.635
"solution","A",1,"alpha","none",8.255,"du",3.81
"large sample","D",416,"alpha","none",3.175,"mgo",0.635
"small sample","A",40,"alpha","none",7.62,"ch2",1.27
"large sample","A",59,"alpha","mgo",1.27,"ch2",2.54
"small sample","A",4,"alpha","none",8.255,"ch2",1.27
"metallurgy","A",53,"alpha","none",20.32,"ch2",1.27
"large sample","A",12,"alpha","none",12.7,"ss304",0.635
"large sample","A",17,"alpha","none",3.175,"ch2",1.905
"metallurgy","B",61,"alpha","ch2",5.715,"ch2",0.635
"machining","M",7,"alpha","ch2",2.54,"ch2",0.635
"large sample","B",154,"alpha","ch2",5.08,"ch2",1.27
"large sample","A",32,"alpha","none",6.35,"ch2",1.27
"solution","A",30,"alpha","none",20.32,"ch2",0.635
"large sample","A",47,"alpha","none",6.985,"ch2",1.27
"metallurgy","A",33,"alpha","mgo",16.51,"mgo",0.635
"small sample","A",11,"alpha","none",0.635,"ss304",0.635
"small sample","A",2,"alpha","none",23.495,"al",1.905
"large sample","A",40,"alpha","none",7.62,"ch2",3.175
"large sample","A",44,"alpha","ch2",7.62,"ch2",2.54
"metallurgy","A",50,"alpha","none",5.715,"ch2",1.905
"large sample","A",15,"alpha","none",12.065,"ch2",0.635
"solution","A",11,"alpha","none",19.685,"ch2",1.905
"large sample","A",26,"alpha","ch2",12.065,"ch2",3.81
"solution","A",8,"alpha","none",6.35,"ch2",3.175
"solution","A",12,"alpha","none",6.985,"ch2",1.27
"metallurgy","E",60,"alpha","none",0.635,"mgo",0.635
"large sample","A",29,"alpha","ch2",1.905,"ss304",3.175
"small sample","A",24,"alpha","none",4.445,"ch2",1.27
"small sample","A",20,"alpha","none",3.175,"ch2",1.27
"large sample","C",212,"alpha","none",3.175,"ss304",0.635
"metallurgy","E",90,"alpha","none",0.635,"ss304",0.635
"small sample","A",65,"alpha","none",11.43,"al",0.635
"metallurgy","A",8,"alpha","none",8.255,"ch2",0.635
"small sample","A",34,"alpha","none",18.415,"ch2",1.27
"large sample","D",136,"alpha","ch2",1.27,"ch2",0.635
"solution","A",22,"alpha","none",13.97,"ch2",0.635
"machining","M",12,"alpha","ch2",10.16,"ch2",0.635
"small sample","A",48,"alpha","none",6.35,"mgo",1.27
"metallurgy","A",50,"alpha","ch2",1.905,"ss304",0.635
"small sample","A",25,"alpha","none",15.24,"ch2",1.27
"small sample","A",15,"alpha","none",5.08,"mgo",0.635
"machining","A",28,"alpha","ch2",15.24,"ch2",1.905
"solution","A",12,"alpha","none",19.05,"ch2",0.635
"small sample","A",29,"alpha","mgo",12.065,"ch2",1.27
"solution","A",13,"alpha","none",19.05,"ch2",0.635
"small sample","A",21,"alpha","none",6.35,"ch2",5.715
"large sample","A",38,"alpha","mgo",6.35,"al",0.635
"small sample","A",3,"alpha","none",10.16,"ch2",1.27
"large sample","B",104,"alpha","none",3.81,"ss304",0.635
"small sample","A",26,"alpha","none",11.43,"ch2",2.54
"small sample","A",3,"alpha","none",15.24,"ss304",1.27
"solution","A",15,"alpha","none",3.81,"ch2",1.905
"waste","P",221,"alpha","ch2",9.525,"ch2",1.27
"small sample","A",9,"alpha","none",6.985,"ch2",2.54
"solution","A",2,"alpha","none",15.875,"ss304",0.635
"small sample","A",65,"alpha","none",2.54,"ch2",3.81
"metallurgy","A",17,"alpha","none",5.08,"ss304",1.905
"small sample","A",57,"alpha","ch2",3.81,"ch2",0.635
"solution","A",5,"alpha","none",27.94,"ss304",0.635
"large sample","A",8,"alpha","none",13.335,"ch2",1.905
"small sample","A",54,"alpha","none",15.24,"ch2",1.905
"small sample","A",41,"alpha","none",5.08,"mgo",3.175
"small sample","A",65,"alpha","ch2",8.255,"ch2",1.27
"solution","A",3,"alpha","none",20.955,"ch2",0.635
"metallurgy","E",28,"alpha","none",1.27,"ch2",0.635
"small sample","A",41,"alpha","none",7.62,"ch2",3.175
"solution","A",11,"alpha","none",4.445,"ch2",1.27
"small sample","B",21,"alpha","none",1.27,"ch2",1.27
"large sample","E",93,"alpha","none",0.635,"mgo",0.635
"large sample","A",28,"alpha","none",9.525,"mgo",0.635
"small sample","A",65,"alpha","none",9.525,"ch2",3.175
"metallurgy","A",65,"alpha","none",17.145,"ss304",0.635
"metallurgy","A",15,"alpha","none",10.795,"ss304",0.635
"machining","M",45,"alpha","none",10.16,"ch2",0.635
"large sample","A",48,"alpha","none",12.065,"ch2",0.635
"solution","A",7,"alpha","none",5.08,"ch2",1.905
"metallurgy","A",36,"alpha","none",6.35,"al",2.54
"solution","A",18,"alpha","none",6.35,"ch2",1.905
"small sample","A",40,"alpha","none",5.08,"ch2",1.27
"large sample","A",65,"alpha","none",3.81,"ch2",2.54
"large sample","D",143,"alpha","none",0.635,"ch2",0.635
"large sample","B",204,"alpha","none",5.08,"mgo",1.27
"small sample","A",18,"alpha","ch2",4.445,"ch2",0.635
"large sample","A",25,"alpha","mgo",5.715,"ss304",1.27
"machining","M",23,"alpha","ch2",8.255,"ch2",0.635
"solution","A",4,"alpha","ch2",13.335,"ch2",0.635
"large sample","M",142,"alpha","none",8.255,"ch2",0.635
"large sample","C",142,"alpha","none",3.175,"none",0.635
"machining","A",6,"alpha","ch2",19.685,"ch2",0.635
"small sample","B",96,"alpha","none",4.445,"ch2",1.27
"solution","A",33,"alpha","none",15.875,"pb",0.635
"large sample","A",19,"alpha","none",20.32,"ss304",1.905
"small sample","A",44,"alpha","none",6.35,"ch2",1.905
"small sample","A",27,"alpha","none",5.715,"mgo",0.635
"small sample","A",27,"alpha","ch2",13.97,"ss304",1.905
